HUC12NAME,HUC12,n_samples,n_stations,fc_n,fc_exceed,fc_exceed_pct,fe_exceed,sc_exceed,sc_median,ph_exceed,impairment_score
Davis Creek-Guyandotte River,050701020403,17338,51,547,371,67.82449725776965,113,154,340.27,11,1020
Ballard Fork-Mud River,050701020302,12821,101,390,45,11.538461538461538,15,801,1318.0,6,912
Crawley Creek-Guyandotte River,050701020102,15014,81,505,239,47.32673267326733,37,237,353.1,7,759
Big Harts Creek,050701020103,4908,83,323,177,54.79876160990712,4,6,169.5,1,365
Big Creek-Mud River,050701020304,4380,33,265,80,30.18867924528302,14,172,356.0,0,346
Merrick Creek-Mud River,050701020309,4657,37,109,66,60.55045871559633,28,121,390.0,2,283
Fourteenmile Creek-Guyandotte River,050701020105,3683,56,278,114,41.007194244604314,9,18,130.0,5,260
Big Creek,050701020101,4060,51,218,92,42.20183486238532,13,25,271.5,18,240
Smith Creek-Guyandotte River,050701020402,2750,32,229,93,40.61135371179039,18,9,269.0,0,213
Middle Fork Mud River,050701020303,2270,29,223,91,40.80717488789238,21,0,148.0,0,203
Left Fork Mud River,050701020301,2018,28,100,35,35.0,3,125,610.0,2,200
Madison Creek-Guyandotte River,050701020401,4252,17,173,71,41.040462427745666,41,10,257.5,0,193
Headwaters Trace Fork,050701020201,2323,29,228,75,32.89473684210526,19,0,168.0,0,169
Mill Creek-Mud River,050701020307,3505,33,213,62,29.107981220657276,10,7,170.0,3,144
Big Cabell Creek-Mud River,050701020308,1877,27,176,58,32.95454545454545,5,0,242.0,0,121
Tenmile Creek-Guyandotte River,050701020107,3453,29,214,33,15.42056074766355,12,25,121.0,6,109
Outlet Trace Fork,050701020202,1559,18,136,36,26.470588235294116,19,0,157.5,0,91
Fourmile Creek,050701020106,2372,15,112,38,33.92857142857143,10,0,157.0,0,86
Big Ugly Creek,050701020104,4970,43,226,31,13.716814159292035,0,20,127.0,4,86
Charley Creek-Mud River,050701020306,1597,14,113,33,29.20353982300885,10,8,196.0,0,84
Buffalo Creek-Mud River,050701020305,723,10,56,16,28.571428571428573,5,9,229.0,0,46
